Block Name	Block Number	Trial Number	Track Width	Track Height	Circuit Time	Axis Setup	On-Target Percent	Average Distance
Practice	0	1	150	100	12000	Standard	87.9166667	2.22184309
Practice	0	2	150	100	12000	Invert Both	20.4166667	7.56707561
Main	1	1	150	100	12000	Invert Both	26.6666667	7.47012896
Main	1	2	150	100	12000	Standard	86.8055556	2.11824437
Main	1	3	150	100	12000	Standard	93.6111111	1.79671691
Main	1	4	150	100	12000	Invert Both	13.8888889	10.7569017
Main	1	5	150	100	12000	Standard	93.6111111	1.88208043
	0	0	0	0	0		0	0

